Reference, Quantity, Value, Footprint, Datasheet, MANUFACTURER, MAXIMUM_PACKAGE_HEIGHT, PARTREV, STANDARD
C1 C3 ,2,"10uF","Capacitor_SMD:C_0603_1608Metric","~"
C9 C10 ,2,"0.1uF(25V/10%)","Capacitor_SMD:C_0402_1005Metric","~"
C4 ,1,"2.7pF","Capacitor_SMD:C_0402_1005Metric","~"
C6 ,1,"4.7pF","Capacitor_SMD:C_0402_1005Metric","~"
C5 C7 ,2,"0.1uF","Capacitor_SMD:C_0402_1005Metric","~"
C8 ,1,"100uF","Capacitor_SMD:C_0603_1608Metric","~"
D1 D3 D4 ,3,"ESD_DIODE","Diode_SMD:D_0805_2012Metric","~"
D2 ,1,"D","Diode_SMD:D_0805_2012Metric","~"
E1 ,1,"PRO-OB-440","","","Proant AB","3.53mm","3.2","Manufacturer Recommendations"
J1 ,1,"USBCONN_MICRO","Connector_USB:USB_Micro-B_Molex-105017-0001"," ~"
J2 ,1,"Screw_Terminal_01x03","TerminalBlock:TerminalBlock_Altech_AK300-3_P5.00mm","~"
L1 ,1,"1.6nH","Inductor_SMD:L_0603_1608Metric","~"
Q1 Q2 ,2,"S8050","Package_TO_SOT_THT:TO-92_Inline","http://www.unisonic.com.tw/datasheet/S8050.pdf"
R15 ,1,"0R(1%)","Resistor_SMD:R_0402_1005Metric","~"
R1 R2 R9 R10 R13 R14 ,6,"0(1%)","Resistor_SMD:R_0402_1005Metric","~"
R3 ,1,"22.1K(1%0","Resistor_SMD:R_0402_1005Metric","~"
R4 ,1,"47.5K(1%)","Resistor_SMD:R_0402_1005Metric","~"
R5 ,1,"2K","Resistor_SMD:R_0402_1005Metric","~"
R6 R11 R12 ,3,"10K(1%)","Resistor_SMD:R_0402_1005Metric","~"
R7 R8 ,2,"1K(1%)","Resistor_SMD:R_0402_1005Metric","~"
SW1 SW2 ,2,"SW_Push","Button_Switch_SMD:Panasonic_EVQPUJ_EVQPUA","~"
U1 ,1,"ZLDO1117G33TA","VREG:SOT230P700X180-4N","","Diodes Inc.","1.8 mm","6-2","Manufacturer Recommendations"
U2 ,1,"ESP32-PICO-D4","ESP32:PQFN50P700X700X104-49N","","Espressif Systems","1.04 mm","v1.9","IPC 7351B"
U3 ,1,"CP2103-GMR","USB/UART:CP2103-GMR",""